"HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","QZ5","Test1","Test2","Homework","Quiz","Lab","Overall","Grade"
100,100,100,100,100,100,100,100,100,12,100,100,100,20,80,90,100,100,100,100,100,100,100,"A+"
85,95,100,95,95,95,100,100,100,12,91.6666666666667,88.8888888888889,90,19,57.6,74.7,95,72,83,97.5,90.1851851851852,100,87.9277777777778,"B+"
87.5,100,85,70,100,98,0,80,0,7,83.3333333333333,55.5555555555556,50,0,56.8,54.9,0,71,61,77.5625,62.962962962963,20,64.1631944444445,"C-"
92.5,100,100,100,96.25,99,100,92.5,95,12,66.6666666666667,88.8888888888889,65,13,69.6,58.05,65,87,64.5,97.84375,73.5185185185185,100,83.9059027777778,"B"
32.5,0,65,60,0,46,0,0,0,5,41.6666666666667,50,0,0,40,16.2,0,50,18,25.4375,30.5555555555556,0,26.7145833333333,"F"
75,85,92.5,95,100,91,0,0,90,9,91.6666666666667,94.4444444444444,0,15,73.6,71.1,75,92,79,78.5625,67.037037037037,60,77.7743055555556,"C+"
90,100,97.5,95,80,80,52,90,90,12,91.6666666666667,50,75,18,78.4,68.85,90,98,76.5,90.3125,72.2222222222222,100,86.6520833333333,"B+"
92.5,95,100,90,100,72,95,74.5,100,12,83.3333333333333,44.4444444444444,60,13,52,63.9,65,65,71,93.375,62.5925925925926,100,78.1513888888889,"C+"
82.5,85,92.5,70,100,0,84,90,95,12,91.6666666666667,100,70,19,80,73.8,95,100,82,87.375,87.2222222222222,100,89.7958333333333,"A-"
75,95,95,95,95,96,0,100,98,12,58.3333333333333,55.5555555555556,65,16,63.2,70.65,80,79,78.5,93.625,59.6296296296296,100,82.4569444444444,"B"
0,77.5,0,15,0,70,80,80,57.5,11,66.6666666666667,27.7777777777778,35,3,21.6,50.4,15,27,56,47.5,43.1481481481481,100,50.1222222222222,"D"
95,100,100,100,100,90,100,100,70,12,100,100,80,20,77.6,87.3,100,97,97,98.125,93.3333333333333,100,97.0875,"A+"
82.5,0,82.5,80,100,0,0,0,70,12,75,38.8888888888889,45,12,42.4,41.4,60,53,46,51.875,52.962962962963,100,55.6069444444444,"D"
80,92.5,87.5,100,100,69,51.5,80,75,12,100,83.3333333333333,67.5,20,70.4,68.4,100,88,76,85.5,83.6111111111111,100,84.7916666666667,"B"
87.5,100,100,100,85,90,100,100,80,12,66.6666666666667,72.2222222222222,60,15,68,70.2,75,85,78,95.3125,66.2962962962963,100,85.0381944444444,"B"
50,0,67.5,50,0,78,41.5,82.5,80,11,33.3333333333333,55.5555555555556,70,17,40,36.9,85,50,41,56.1875,52.962962962963,100,55.0506944444444,"D"
47.5,70,77.5,30,85,55,78,92.5,80,11,66.6666666666667,16.6666666666667,0,6,47.2,20.7,30,59,23,73.1875,29.7777777777778,100,53.9729166666667,"D"
77.5,85,100,100,95,93,82,90,95,12,75,55.5555555555556,70,13,59.2,69.3,65,74,77,92.5,66.8518518518518,100,81.8277777777778,"B-"
